,Nationality,Birth_date,Status,Laner,Earnings
0,Brunei,"April 11, 1997 (age 25)",Inactive,Gold Laner,"$70,849"
1,Cambodia,,Active,Roamer,"$6,399"
2,Cambodia,,Active,EXP Laner,"$8,473"
3,Cambodia,,Active,,"$8,933"
4,Cambodia,,Active,Roamer,"$12,475"
5,Cambodia,"June 16, 2001 (age 21)",Active,EXP Laner,"$10,989"
6,Cambodia,,Active,Gold Laner,"$8,234"
7,Cambodia,,Active,Roamer,"$8,007"
8,Cambodia,,Active,Gold Laner,"$8,900"
9,Cambodia,,Active,Mid Laner,"$12,475"
10,Cambodia,,Active,EXP Laner,"$12,279"
11,Cambodia,,Active,Gold Laner,"$6,738"
12,Cambodia,October 12,Active,Jungler,"$8,200"
13,Cambodia,,Active,Mid Laner,"$7,468"
14,Cambodia,,Active,Roamer,"$3,138"
15,Cambodia,,Active,Mid Laner,"$3,186"
16,Cambodia,,Active,Jungler,"$9,549"
17,Cambodia,,Active,EXP Laner,"$10,502"
18,Cambodia,,Active,Jungler,"$2,626"
19,Cambodia,,Active,Gold Laner,"$9,860"
20,Cambodia,,Active,Mid Laner,"$6,275"
21,Cambodia,,Active,Jungler,"$5,285"
22,Cambodia,,Active,Gold Laner,"$3,112"
23,Cambodia,,Inactive,Mid Laner,"$7,929"
24,Cambodia,,Active,EXP Laner,"$3,089"
25,Cambodia,,Active,Roamer,"$7,899"
26,Cambodia,,Active,Mid Laner,"$3,646"
27,Cambodia,,Active,EXP Laner,"$3,078"
28,Cambodia,,Active,Jungler,"$3,679"
29,Indonesia,,Active,Jungler,"$3,864"
30,Indonesia,"October 10, 2004 (age 18)",Active,Jungler,"$28,781"
31,Indonesia,"August 26, 1998 (age 24)",Active,Gold LanerMid Laner,"$37,774"
32,Indonesia,"January  8, 2004 (age 18)",Active,Jungler,"$106,472"
33,Indonesia,,Active,Gold Laner,"$3,579"
34,Indonesia,,Active,Mid Laner,"$6,834"
35,Indonesia,"May 14, 2000 (age 22)",Active,EXP Laner,"$84,901"
36,Indonesia,"February 26, 2001 (age 21)",Active,Jungler,"$1,643"
37,Indonesia,"May  5, 1996 (age 26)",Retired,Mid Laner,"$38,115"
38,Indonesia,,Active,Gold Laner,"$12,130"
39,Indonesia,,Active,Jungler,"$4,201"
40,Indonesia,,Retired,Jungler,"$11,636"
41,Indonesia,,Active,Roamer,"$46,275"
42,Indonesia,,Active,EXP Laner,"$7,320"
43,Indonesia,"May 13, 2002 (age 20)",Active,Roamer,"$3,652"
44,Indonesia,"April  1, 2004 (age 18)",Active,Jungler,"$12,165"
45,Indonesia,"August 29, 2000 (age 22)",Active,Gold Laner,"$29,587"
46,Indonesia,"February  7, 2000 (age 22)",Active,EXP Laner,"$18,915"
47,Indonesia,"April  4, 2001 (age 21)",Active,EXP Laner,"$85,400"
48,Indonesia,"November 10, 2000 (age 21)",Active,Gold Laner,"$77,558"
49,Indonesia,,Active,Gold Laner,$74
50,Indonesia,,Active,Gold Laner,"$4,162"
51,Indonesia,"September 12, 1998 (age 24)",Active,Jungler,"$1,343"
52,Indonesia,"February 23, 2003 (age 19)",Active,Jungler,"$42,962"
53,Indonesia,"November  6, 2002 (age 19)",Active,Gold LanerJungler,"$5,851"
54,Indonesia,,Active,Gold Laner,"$2,953"
55,Indonesia,"May 26, 2004 (age 18)",Active,Mid LanerRoamer,"$5,851"
56,Indonesia,"October  5, 1999 (age 23)",Active,Gold Laner,"$24,033"
57,Indonesia,,Active,Mid Laner,"$2,101"
58,Indonesia,"April  2, 2003 (age 19)",Active,Mid Laner,"$78,404"
59,Indonesia,"February  5, 1997 (age 25)",Active,Gold Laner,"$46,684"
60,Indonesia,"February 17, 2001 (age 21)",Active,Mid Laner,"$6,086"
61,Indonesia,"November 14, 1999 (age 22)",Active,Roamer,"$34,899"
62,Indonesia,"March 11, 1999 (age 23)",Active,Roamer,"$4,934"
63,Indonesia,"September 26, 1989 (age 33)",Retired,Roamer,"$64,825"
64,Indonesia,"July  4, 1997 (age 25)",Inactive,,"$8,359"
65,Indonesia,"December  6, 1999 (age 22)",Active,Roamer,"$31,323"
66,Indonesia,"August 28, 2002 (age 20)",Active,Mid Laner,"$112,023"
67,Indonesia,,Active,Roamer,"$6,424"
68,Indonesia,,Active,EXP Laner,"$3,064"
69,Indonesia,"September  5, 1994 (age 28)",Inactive,Roamer,"$2,487"
70,Indonesia,,Retired,Roamer,"$4,743"
71,Indonesia,"March 27, 1997 (age 25)",Retired,Mid Laner,"$6,946"
72,Indonesia,,Retired,Mid Laner,"$5,481"
73,Indonesia,"July 18, 1997 (age 25)",Active,Mid Laner,"$14,742"
74,Indonesia,"February  4, 1999 (age 23)",Active,Mid LanerGold Laner,"$12,974"
75,Indonesia,,Active,Jungler,"$2,409"
76,Indonesia,"August 18, 2004 (age 18)",Active,Jungler,"$42,584"
77,Indonesia,"December  5, 2001 (age 20)",Active,EXP Laner,"$17,085"
78,Indonesia,"January 23, 2001 (age 21)",Active,Roamer,"$10,350"
79,Indonesia,,Active,EXP Laner,"$2,013"
80,Indonesia,"October 26, 1999 (age 23)",Active,Mid Laner,"$3,537"
81,Indonesia,"May 10, 2000 (age 22)",Active,Mid Laner,"$2,387"
82,Indonesia,"June  4, 2005 (age 17)",Active,EXP Laner,"$21,998"
83,Indonesia,,Active,Mid Laner,"$1,587"
84,Indonesia,"July 31, 2001 (age 21)",Active,Jungler,"$17,217"
85,Indonesia,,Active,Gold Laner,"$1,115"
86,Indonesia,"January  8, 2002 (age 20)",Active,Jungler,"$3,467"
87,Indonesia,,Active,Mid Laner,"$1,185"
88,Indonesia,,Retired,Roamer,"$9,082"
89,Indonesia,"April 23, 2004 (age 18)",Active,Gold Laner,"$1,393"
90,Indonesia,,Retired,Mid Laner,"$7,905"
91,Indonesia,,Retired,Roamer,"$19,256"
92,Indonesia,,Active,Jungler,"$6,185"
93,Indonesia,,Retired,EXP LanerGold Laner,"$8,470"
94,Indonesia,"February  5, 1996 (age 26)",Retired,Jungler,"$9,902"
95,Indonesia,,Active,Gold Laner,"$4,655"
96,Indonesia,,Active,Roamer,"$10,131"
97,Indonesia,"February 25, 2001 (age 21)",Active,EXP Laner,"$29,647"
98,Indonesia,"January  1, 2003 (age 19)",Active,Gold Laner,"$15,342"
99,Indonesia,"November  7, 2002 (age 19)",Active,Roamer,"$74,901"
100,Indonesia,,Inactive,Mid Laner,"$25,339"
101,Indonesia,,Active,Jungler,"$1,357"
102,Indonesia,"September  8, 2003 (age 19)",Active,Roamer,"$30,513"
103,Indonesia,"December 13, 1997 (age 24)",Active,Roamer,"$124,202"
104,Indonesia,,Active,EXP Laner,"$1,615"
105,Indonesia,"December 30, 1998 (age 23)",Active,Mid LanerGold Laner,"$148,383"
106,Indonesia,"July 29, 2001 (age 21)",Active,Roamer,"$45,039"
107,Indonesia,"November 30, 1998 (age 23)",Inactive,Roamer,"$78,762"
108,Indonesia,,Active,Mid Laner,"$1,343"
109,Indonesia,,Active,EXP Laner,$150
110,Indonesia,"February 10, 2000 (age 22)",Active,Mid LanerRoamer,"$96,146"
111,Indonesia,,Active,Mid Laner,$118
112,Indonesia,"November 27, 2003 (age 18)",Active,Jungler,"$25,293"
113,Indonesia,,Active,Mid Laner,"$32,180"
114,Indonesia,,Active,Roamer,$221
115,Indonesia,"October  5, 1994 (age 28)",Retired,Roamer,"$21,601"
116,Indonesia,"May 31, 2000 (age 22)",Active,Jungler,"$9,750"
117,Indonesia,"November 27, 2003 (age 18)",Active,Gold Laner,"$28,325"
118,Indonesia,"July 29, 1999 (age 23)",Active,Mid Laner,"$3,367"
119,Indonesia,,Retired,EXP Laner,"$31,680"
120,Indonesia,"October  5, 2005 (age 17)",Active,Mid Laner,"$1,939"
121,Indonesia,"May 18, 1998 (age 24)",Active,EXP Laner,
122,Indonesia,"April 30, 2004 (age 18)",Active,Gold Laner,"$11,001"
123,Indonesia,"July 24, 1998 (age 24)",Retired,EXP Laner,"$55,402"
124,Indonesia,"March 27, 1999 (age 23)",Active,EXP Laner,"$35,455"
125,Indonesia,,Active,EXP Laner,"$4,861"
126,Indonesia,"November  3, 2001 (age 20)",Active,Gold LanerEXP Laner,"$1,343"
127,Indonesia,,Active,Roamer,$998
128,Indonesia,,Active,Gold Laner,"$2,514"
129,Indonesia,"February  5, 2000 (age 22)",Active,Mid LanerRoamer,"$97,610"
130,Indonesia,"December 21, 1998 (age 23)",Active,Gold Laner,"$1,110"
131,Indonesia,"August 13, 1996 (age 26)",Active,RoamerGold Laner,"$103,227"
132,Indonesia,,Active,Gold Laner,"$3,330"
133,Indonesia,"October  7, 1998 (age 24)",Active,EXP Laner,"$147,385"
134,Indonesia,"May 19, 1999 (age 23)",Inactive,Mid Laner,"$25,803"
135,Indonesia,"May  5, 2001 (age 21)",Active,Roamer,"$21,280"
136,Indonesia,"January  6, 2001 (age 21)",Active,EXP LanerRoamer,"$14,863"
137,Indonesia,,Active,Gold Laner,$563
138,Indonesia,,Active,Mid Laner,"$3,844"
139,Indonesia,,Retried,Mid Laner,"$75,622"
140,Indonesia,"December 25, 1994 (age 27)",Retired,EXP Laner,"$5,755"
141,Indonesia,,Active,Gold LanerEXP Laner,$540
142,Indonesia,"January 21, 1999 (age 23)",Active,EXP Laner,"$11,085"
143,Indonesia,,Retired,EXP Laner,"$10,787"
144,Indonesia,"December 16, 1998 (age 23)",Active,Roamer,"$2,370"
145,Indonesia,"July 22, 2002 (age 20)",Active,JunglerMid Laner,"$74,161"
146,Indonesia,"March 23, 2004 (age 18)",Active,Jungler,"$52,019"
147,Indonesia,"May 16, 2003 (age 19)",Active,Gold Laner,"$2,855"
148,Indonesia,"March 29, 1999 (age 23)",Active,Mid LanerRoamer,"$30,189"
149,Indonesia,,Active,EXP Laner,"$1,324"
150,Indonesia,"May  5, 1999 (age 23)",Active,EXP LanerGold Laner,"$8,466"
151,Indonesia,"February 25, 2002 (age 20)",Active,Gold Laner,"$72,480"
152,Indonesia,,Active,Jungler,"$1,057"
153,Indonesia,,Active,Mid Laner,"$3,064"
154,Indonesia,"July  3, 2002 (age 20)",Active,Gold Laner,"$9,300"
155,Indonesia,,Active,Mid LanerJungler,"$2,019"
156,Indonesia,"December  2, 2003 (age 18)",Active,Roamer,$835
157,Indonesia,"December 16, 1994 (age 27)",Retired,Gold Laner,"$65,678"
158,Indonesia,"July  2, 2001 (age 21)",Active,Mid Laner,"$71,902"
159,Indonesia,,Active,Roamer,"$8,837"
160,Indonesia,"July 26, 1999 (age 23)",Active,Mid Laner,"$13,440"
161,Indonesia,"September  3, 2000 (age 22)",Active,RoamerMid Laner,"$157,505"
162,Indonesia,"October 24, 2000 (age 22)",Active,RoamerGold Laner,"$15,813"
163,Indonesia,"February  9, 2001 (age 21)",Active,EXP Laner,"$5,426"
164,Indonesia,,Active,Gold Laner,"$4,182"
165,Indonesia,"December 14, 2003 (age 18)",Active,Jungler,"$5,938"
166,Indonesia,"March 10, 2001 (age 21)",Active,Roamer,"$35,750"
167,Indonesia,,Active,Gold LanerEXP Laner,"$1,343"
168,Indonesia,"October  8, 2004 (age 18)",Active,Jungler,"$6,298"
169,Indonesia,"November 21, 1999 (age 22)",Retired,Mid Laner,$277
170,Indonesia,"January  7, 1999 (age 23)",Active,Roamer,"$5,837"
171,Indonesia,"July  7, 2000 (age 22)",Active,Mid LanerJungler,"$99,307"
172,Indonesia,"August 18, 2002 (age 20)",Active,Mid Laner,"$4,795"
173,Indonesia,"July  7, 2000 (age 22)",Active,Gold Laner,"$37,578"
174,Indonesia,,Active,Roamer,"$1,978"
175,Indonesia,,Active,EXP Laner,"$4,203"
176,Indonesia,"December  2, 1998 (age 23)",Inactive,Gold LanerJungler,"$111,539"
177,Indonesia,"March 30, 2003 (age 19)",Active,EXP Laner,"$6,498"
178,Indonesia,,Retired,EXP Laner,"$32,135"
179,Indonesia,"March 11, 1995 (age 27)",Retired,Roamer,"$19,866"
180,Indonesia,"October  6, 2002 (age 20)",Active,Roamer,"$17,085"
181,Laos,,Active,EXP Laner,"$1,000"
182,Laos,,Active,Gold Laner,$600
183,Laos,,Active,Jungler,$600
184,Laos,,Active,Roamer,$932
185,Laos,,Active,Mid Laner,"$1,000"
186,Malaysia,,Retired,Roamer,"$14,702"
187,Malaysia,"December  2, 2001 (age 20)",Active,Gold Laner,"$35,660"
188,Malaysia,,Active,Roamer,"$8,819"
189,Malaysia,,Active,Mid Laner,"$5,820"
190,Malaysia,,Active,Jungler,"$19,460"
191,Malaysia,November 27,Active,EXP Laner,"$16,025"
192,Malaysia,,Active,EXP Laner,"$7,200"
193,Malaysia,,Active,Jungler,"$6,340"
194,Malaysia,,Active,Roamer,"$3,020"
195,Malaysia,"September 16, 2003 (age 19)",Active,Jungler,"$6,233"
196,Malaysia,"October 11, 2001 (age 21)",Active,Jungler,"$44,640"
197,Malaysia,,Active,Roamer,"$8,920"
198,Malaysia,"June  5, 2000 (age 22)",Active,,"$18,325"
199,Malaysia,,Active,EXP Laner,"$5,820"
200,Malaysia,,,EXP Laner,"$7,697"
201,Malaysia,,Retired,EXP Laner,"$11,020"
202,Malaysia,,Inactive,Jungler,"$15,785"
203,Malaysia,"May 14, 1996 (age 26)",Retired,,"$6,502"
204,Malaysia,,Active,Jungler,"$11,020"
205,Malaysia,,Retired,Mid Laner,"$6,502"
206,Malaysia,,Retired,,"$4,737"
207,Malaysia,,Active,Roamer,
208,Malaysia,,Active,Gold Laner,"$8,700"
209,Malaysia,,Active,Mid Laner,"$11,471"
210,Malaysia,,Inactive,EXP Laner,"$11,860"
211,Malaysia,,Retired,Roamer,"$11,020"
212,Malaysia,,Active,Jungler,"$14,400"
213,Malaysia,2005 (age 16-17),Active,Jungler,"$5,919"
214,Malaysia,,Inactive,EXP Laner,"$15,032"
215,Malaysia,,Active,EXP LanerGold Laner,"$12,119"
216,Malaysia,,Active,EXP LanerGold Laner,"$11,020"
217,Malaysia,,Active,Jungler,"$4,580"
218,Malaysia,,Active,EXP LanerGold Laner,"$8,060"
219,Malaysia,"August 15, 1999 (age 23)",Active,Mid Laner,"$14,640"
220,Malaysia,"August 15, 1999 (age 23)",Active,Roamer,"$14,440"
221,Malaysia,,Active,Roamer,"$8,320"
222,Malaysia,,Active,EXP Laner,"$28,540"
223,Malaysia,"September 15, 1999 (age 23)",Active,Mid Laner,"$44,640"
224,Malaysia,,Active,Roamer,"$16,520"
225,Malaysia,,,EXP Laner,"$6,900"
226,Malaysia,,Active,Mid LanerRoamer,"$7,976"
227,Malaysia,,Active,Roamer,"$1,080"
228,Malaysia,"July  7, 1997 (age 25)",Retired,,"$6,320"
229,South Korea,"June  9, 1992 (age 30)",Active,Coach,"$1,140"
230,Malaysia,,Retired,,"$6,402"
231,Malaysia,"February 25, 2000 (age 22)",Active,EXP Laner,"$33,925"
232,Malaysia,,Active,EXP Laner,"$8,060"
233,Malaysia,,Active,Jungler,"$3,420"
234,Malaysia,"October 17, 1997 (age 25)",Retired,Roamer,"$6,320"
235,Malaysia,,Retired,Mid Laner,"$12,720"
236,Malaysia,,Active,Roamer,"$9,600"
237,Malaysia,"August 21, 1996 (age 26)",Active,Gold Laner,"$56,685"
238,Malaysia,,Retired,Roamer,"$4,940"
239,Malaysia,,Active,,"$6,033"
240,Malaysia,,Active,RoamerMid Laner,"$10,260"
241,Malaysia,"July  1, 2002 (age 20)",Active,EXP Laner,"$16,780"
242,Malaysia,"May 15, 1993 (age 29)",Retired,,"$7,296"
243,Malaysia,,Inactive,Roamer,"$6,260"
244,Malaysia,,Active,EXP Laner,"$11,680"
245,Malaysia,,Active,Gold Laner,"$10,820"
246,Malaysia,,Active,Mid LanerRoamer,"$9,142"
247,Malaysia,,Active,Jungler,"$10,600"
248,Malaysia,"March 10, 2000 (age 22)",Active,Roamer,"$20,623"
249,Malaysia,,Active,Roamer,"$10,091"
250,Malaysia,,Active,EXP Laner,"$23,580"
251,Malaysia,,Active,Roamer,"$23,120"
252,Malaysia,,Active,Mid Laner,"$14,620"
253,Malaysia,,Active,Roamer,"$12,151"
254,Malaysia,,Inactive,Roamer,"$11,319"
255,Malaysia,,Retired,EXP Laner,"$2,900"
256,Myanmar,,Active,Jungler,"$32,061"
257,Myanmar,,Active,,"$6,378"
258,Myanmar,"April 28, 2000 (age 22)",Active,,"$24,361"
259,Myanmar,,Active,Roamer,"$12,910"
260,Myanmar,,Active,Mid Laner,"$11,269"
261,Myanmar,,Active,Jungler,"$5,907"
262,Myanmar,,Active,Mid Laner,"$28,987"
263,Myanmar,"February  6, 1997 (age 25)",Active,,
264,Myanmar,"May  5, 2000 (age 22)",Active,Roamer,"$27,407"
265,Myanmar,,Active,RoamerEXP Laner,"$11,269"
266,Myanmar,,Active,Gold Laner,"$5,162"
267,Myanmar,"May 25, 1999 (age 23)",Active,Gold LanerEXP Laner,"$31,713"
268,Myanmar,,Active,Roamer,"$4,062"
269,Myanmar,,Active,Gold Laner,"$7,107"
270,Myanmar,,Active,EXP Laner,"$10,721"
271,Philippines,"July 16, 2003 (age 19)",Active,Jungler,"$3,772"
272,Philippines,"April 30, 2004 (age 18)",Active,EXP Laner,"$10,927"
273,Philippines,,Retired,,"$12,717"
274,Philippines,"April 29, 2005 (age 17)",Inactive,Gold Laner,"$4,320"
275,Philippines,"October 27, 1998 (age 24)",Inactive,,"$5,560"
276,Philippines,"November 17, 2001 (age 20)",Active,Mid Laner,"$46,392"
277,Philippines,"October 10, 1998 (age 24)",Active,RoamerMid Laner,"$49,800"
278,Philippines,,Active,,"$4,820"
279,Philippines,"January 16, 1996 (age 26)",Inactive,Roamer,"$35,414"
280,Philippines,"September 10, 2001 (age 21)",Active,Gold Laner,"$18,452"
281,Philippines,"November  1, 1995 (age 26)",Active,Roamer,"$5,812"
282,Philippines,"March 18, 2003 (age 19)",Active,Roamer,"$2,060"
283,Philippines,"August 18, 2001 (age 21)",Active,Roamer,"$41,731"
284,Philippines,"February 18, 1990 (age 32)",Inactive,Jungler,"$2,092"
285,Philippines,,Inactive,Gold Laner,"$59,784"
286,Philippines,,Retired,EXP Laner,"$19,955"
287,Philippines,"January 10, 2003 (age 19)",Active,Jungler,"$43,292"
288,Philippines,"February  4, 1999 (age 23)",Active,EXP Laner,"$2,932"
289,Philippines,"October 12, 1992 (age 30)",Active,Mid Laner,"$99,503"
290,Philippines,"March 28, 1993 (age 29)",Inactive,Mid Laner,"$9,376"
291,Philippines,"September  3, 1999 (age 23)",Active,EXP Laner,"$45,800"
292,Philippines,"February  8, 1991 (age 31)",Active,,"$4,072"
293,Philippines China,"October 27, 2002 (age 20)",Active,Gold Laner,"$2,932"
294,Philippines,,Active,Mid LanerJungler,"$16,664"
295,Philippines,"July 12, 1996 (age 26)",Active,Mid Laner,"$41,724"
296,Philippines,"September 11, 2004 (age 18)",Active,EXP Laner,"$98,843"
297,Philippines,"May 25, 2005 (age 17)",Active,Gold Laner,"$46,292"
298,Philippines,"October 26, 1994 (age 28)",Active,Mid Laner,"$59,198"
299,Philippines,"March  8, 2005 (age 17)",Active,Mid Laner,"$2,932"
300,Philippines,"March 19, 1999 (age 23)",Active,Mid Laner,"$5,291"
301,Philippines,"November  4, 2000 (age 21)",Active,Mid Laner,"$47,066"
302,Philippines,"July  5, 2004 (age 18)",Active,EXP Laner,"$46,152"
303,Philippines,,Retired,Roamer,"$17,542"
304,Philippines,"June  1, 2002 (age 20)",Active,Jungler,"$7,832"
305,Philippines,"April 23, 2003 (age 19)",Active,RoamerJungler,"$96,223"
306,Philippines,"August 31, 2002 (age 20)",Active,Mid LanerGold Laner,"$40,332"
307,Philippines,"March 26, 1996 (age 26)",Inactive,Roamer,"$31,009"
308,Philippines,"February  5, 2003 (age 19)",Active,,"$8,240"
309,Philippines,"October  1, 1995 (age 27)",Active,,"$2,140"
310,Philippines,"February  4, 2004 (age 18)",Active,Gold Laner,"$14,160"
311,Philippines,"January 10, 2002 (age 20)",Active,Jungler,"$8,752"
312,Philippines,,Retired,Roamer,"$20,781"
313,Philippines,"October 22, 1998 (age 24)",Active,RoamerJungler,"$31,374"
314,Philippines,,Retired,EXP Laner,"$13,850"
315,Philippines,"August 13, 2004 (age 18)",Active,EXP Laner,"$4,072"
316,Philippines,"October 23, 2004 (age 18)",Active,Gold Laner,"$4,032"
317,Philippines,"April  8, 1997 (age 25)",Active,Roamer,"$4,230"
318,Philippines,"June  8, 2006 (age 16)",Active,Jungler,"$10,332"
319,Philippines,"September 21, 2005 (age 17)",Active,JunglerMid Laner,"$48,360"
320,Philippines,"August 22, 2004 (age 18)",Active,Jungler,"$64,141"
321,Philippines,,Active,Roamer,"$2,292"
322,Philippines,"March 26, 2005 (age 17)",Active,Gold Laner,"$34,731"
323,Philippines,"February 14, 1998 (age 24)",Active,EXP Laner,"$35,291"
324,Philippines,"December  4, 2004 (age 17)",Active,Mid Laner,"$47,271"
325,Philippines,"October 14, 1998 (age 24)",Active,EXP Laner,"$25,121"
326,Philippines,"August 24, 1997 (age 25)",Active,Roamer,"$4,972"
327,Philippines,"January 13, 2005 (age 17)",Active,Gold Laner,"$16,267"
328,Philippines,"April 14, 2005 (age 17)",Active,EXP Laner,"$5,170"
329,Philippines,"March  2, 2003 (age 19)",Active,Mid Laner,"$18,932"
330,Philippines,"August 19, 2005 (age 17)",Active,Jungler,"$3,652"
331,Philippines,"July 30, 2002 (age 20)",Active,Jungler,"$1,072"
332,Philippines,"September 24, 2000 (age 22)",Active,Mid Laner,"$1,692"
333,Philippines,"November 14, 2002 (age 19)",Active,Roamer,"$43,667"
334,Philippines,,Inactive,Jungler,"$2,280"
335,Philippines,"March 24, 1995 (age 27)",Active,Roamer,"$58,281"
336,Philippines,"October 15, 2004 (age 18)",Active,Jungler,"$5,660"
337,Philippines,"December 28, 1998 (age 23)",Active,Gold Laner,"$35,660"
338,Philippines,,Active,,
339,Philippines,"August 30, 1997 (age 25)",Active,Roamer,"$9,112"
340,Philippines,"November 22, 2000 (age 21)",Active,Roamer,"$2,092"
341,Philippines,"September  1, 2006 (age 16)",Active,EXP Laner,"$42,692"
342,Philippines,"November 28, 2004 (age 17)",Active,Gold Laner,"$2,111"
343,Philippines,"August 17, 2004 (age 18)",Active,Gold Laner,"$95,943"
344,Philippines,"July 20, 1994 (age 28)",Active,Mid Laner,"$106,043"
345,Philippines,"November 16, 2000 (age 21)",Active,,"$11,452"
346,Philippines,"April 25, 2001 (age 21)",Active,Roamer,"$10,682"
347,Philippines,"November 24, 2002 (age 19)",Active,EXP Laner,"$12,062"
348,Philippines,,Retired,,"$24,322"
349,Philippines,"June  8, 2004 (age 18)",Active,Roamer,"$3,772"
350,Philippines,"June 18, 1999 (age 23)",Active,Mid Laner,"$68,907"
351,Philippines,"May 27, 2003 (age 19)",Active,EXP LanerGold Laner,"$9,214"
352,Philippines,"November 19, 1997 (age 24)",Inactive,Roamer,"$28,862"
353,Philippines,"February  8, 2004 (age 18)",Active,Jungler,"$17,052"
354,Philippines,"August  4, 1999 (age 23)",Active,Roamer,"$2,111"
355,Philippines,"October  1, 1996 (age 26)",Active,EXP Laner,"$54,413"
356,Philippines,"March 12, 1995 (age 27)",Active,Mid Laner,"$73,004"
357,Philippines Japan,,Inactive,Mid Laner,"$4,520"
358,Philippines,"December  9, 2002 (age 19)",Active,,"$10,692"
359,Philippines,"October 15, 1999 (age 23)",Active,EXP Laner,"$8,152"
360,Philippines,"April 15, 2003 (age 19)",Active,Jungler,"$8,267"
361,Philippines,"October  6, 2006 (age 16)",Active,Gold Laner,"$4,230"
362,Philippines,"June 24, 2006 (age 16)",Active,EXP Laner,"$8,472"
363,Philippines,"October  3, 2005 (age 17)",Active,Mid Laner,"$5,892"
364,Philippines,"January  3, 2002 (age 20)",Active,Jungler,"$4,351"
365,Philippines,"November 28, 2001 (age 20)",Active,Jungler,"$2,111"
366,Philippines,"July 24, 2003 (age 19)",Active,Mid Laner,"$12,062"
367,Philippines,"November 22, 2003 (age 18)",Active,Mid Laner,"$2,111"
368,Philippines,,Active,Roamer,"$19,955"
369,Philippines,"July 10, 2001 (age 21)",Inactive,Gold Laner,"$17,281"
370,Philippines,"August 13, 2002 (age 20)",Active,EXP Laner,"$2,294"
371,Philippines,"October  6, 2000 (age 22)",Active,Jungler,"$106,043"
372,Philippines,"October 28, 1996 (age 26)",Active,Mid Laner,"$10,920"
373,Philippines,"December  2, 2001 (age 20)",Active,Roamer,"$13,332"
374,Philippines,,Active,Mid Laner,"$18,940"
375,Philippines,"November  2, 1999 (age 22)",Active,Gold Laner,"$4,972"
376,Philippines,"May 29, 1996 (age 26)",Active,Mid LanerRoamer,"$44,664"
377,Philippines,,Retired,Mid Laner,"$25,522"
378,Philippines,"May 12, 1998 (age 24)",Active,Gold Laner,"$46,455"
379,Philippines,,Active,Mid LanerGold Laner,"$16,580"
380,Philippines,"July 25, 2005 (age 17)",Active,Jungler,"$5,892"
381,Singapore,,Active,Mid Laner,"$13,043"
382,Singapore,,Active,EXP Laner,"$2,214"
383,Singapore,,Active,Roamer,"$16,966"
384,Singapore,"November 18, 1999 (age 22)",Active,Gold Laner,"$23,663"
385,Singapore,,Active,Mid LanerCoach,"$12,130"
386,Singapore,,Active,Gold Laner,"$12,989"
387,Singapore,,Retired,Mid Laner,"$10,237"
388,Singapore,"August 30, 2003 (age 19)",Active,,"$3,859"
389,Singapore,"June  8, 2005 (age 17)",Active,Jungler,"$11,792"
390,Singapore,,Active,EXP Laner,"$15,843"
391,Singapore,,Active,Gold Laner,"$5,095"
392,Singapore,,Active,EXP Laner,"$18,245"
393,Singapore,,Active,Gold Laner,"$3,271"
394,Singapore,,Active,Roamer,"$7,052"
395,Singapore,,Active,Roamer,"$11,179"
396,Singapore,"February 24, 1995 (age 27)",Active,EXP Laner,"$5,904"
397,Singapore Japan,"December 23, 1995 (age 26)",Active,Roamer,"$49,980"
398,Singapore,,Active,EXP Laner,"$2,907"
399,Singapore,,Active,Roamer,"$5,095"
400,Singapore,"June 20, 2005 (age 17)",Active,Jungler,"$4,700"
401,Singapore,,Active,Roamer,"$12,683"
402,Singapore,,Retired,Mid LanerRoamer,"$7,442"
403,Singapore,,Active,Mid LanerJungler,"$18,829"
404,Singapore,,Retired,RoamerEXP Laner,"$8,119"
405,Singapore,,Active,Roamer,"$14,443"
406,Singapore,,Active,JunglerGold Laner,"$35,576"
407,Singapore,,Active,RoamerGold Laner,"$6,197"
408,Singapore,,Active,Mid Laner,"$6,446"
409,Singapore,,Retired,Roamer,"$12,761"
410,Singapore,"September  9, 2005 (age 17)",Active,Roamer,"$3,785"
411,Singapore,"June  4, 1996 (age 26)",Active,Jungler,"$18,722"
412,Singapore,,Active,Jungler,"$1,890"
413,Singapore,,Active,Mid Laner,"$5,459"
414,Singapore,,Active,Mid Laner,"$22,091"
415,Singapore,"January 29, 1999 (age 23)",Active,Mid Laner,"$21,998"
416,Singapore,"June 14, 2002 (age 20)",Active,EXP Laner,"$15,306"
417,Singapore,"February 24, 1995 (age 27)",Active,EXP Laner,"$28,013"
418,Singapore,,Retired,Mid LanerJungler,"$8,757"
419,Singapore,,Active,Mid Laner,"$4,414"
420,Singapore,,Active,Mid Laner,"$23,634"
421,Singapore,,Active,Roamer,$685
422,Singapore,,Retired,JunglerMid Laner,"$10,121"
423,Singapore,,Retired,EXP LanerGold Laner,"$8,757"
424,Vietnam,,Retired,Gold Laner,"$2,127"
425,Vietnam,,Retired,Mid Laner,"$4,783"
426,Vietnam,,Retired,Roamer,"$7,282"
427,Vietnam,,Retired,Roamer,"$7,382"
428,Vietnam,,Retired,EXP Laner,"$7,382"
